,ENLISH,ENCODED
5604,I was so nervous.,J!xbt!tp!ofswpvt/
5605,I was very proud.,J!xbt!wfsz!qspve/
5606,I was very proud.,J!xbt!wfsz!qspve/
5607,I washed the car.,J!xbtife!uif!dbs/
5608,I wasn't nervous.,J!xbto(u!ofswpvt/
5609,I wasn't nervous.,J!xbto(u!ofswpvt/
5610,I wasn't thirsty.,J!xbto(u!uijstuz/
5611,I waved him back.,J!xbwfe!ijn!cbdl/
5612,I will shoot him.,J!xjmm!tippu!ijn/
5613,I will try again.,J!xjmm!usz!bhbjo/
5614,I won't tell Tom.,J!xpo(u!ufmm!Upn/
5615,I work in a bank.,J!xpsl!jo!b!cbol/
5616,I work on my own.,J!xpsl!po!nz!pxo/
5617,I wrote a letter.,J!xspuf!b!mfuufs/
5618,I'll buy that CD.,J(mm!cvz!uibu!DE/
5619,I'll never leave.,J(mm!ofwfs!mfbwf/
5620,I'm 18 years old.,J(n!29!zfbst!pme/
5621,I'm 18 years old.,J(n!29!zfbst!pme/
5622,I'm a bit hungry.,J(n!b!cju!ivohsz/
5623,I'm a journalist.,J(n!b!kpvsobmjtu/
5624,I'm a little fat.,J(n!b!mjuumf!gbu/
5625,I'm a translator.,J(n!b!usbotmbups/
5626,I'm a translator.,J(n!b!usbotmbups/
5627,I'm a vegetarian.,J(n!b!wfhfubsjbo/
5628,I'm able to swim.,J(n!bcmf!up!txjn/
5629,I'm afraid to go.,J(n!bgsbje!up!hp/
5630,I'm already done.,J(n!bmsfbez!epof/
5631,I'm always happy.,J(n!bmxbzt!ibqqz/
5632,I'm always happy.,J(n!bmxbzt!ibqqz/
5633,I'm ambidextrous.,J(n!bncjefyuspvt/
5634,I'm at the beach.,J(n!bu!uif!cfbdi/
5635,I'm confused now.,J(n!dpogvtfe!opx/
5636,I'm disappointed.,J(n!ejtbqqpjoufe/
5637,I'm drinking tea.,J(n!esjoljoh!ufb/
5638,I'm drinking tea.,J(n!esjoljoh!ufb/
5639,I'm eating fruit.,J(n!fbujoh!gsvju/
5640,I'm eating fruit.,J(n!fbujoh!gsvju/
5641,I'm eating pasta.,J(n!fbujoh!qbtub/
5642,I'm eating pasta.,J(n!fbujoh!qbtub/
5643,I'm free tonight.,J(n!gsff!upojhiu/
5644,I'm free tonight.,J(n!gsff!upojhiu/
5645,I'm free tonight.,J(n!gsff!upojhiu/
5646,I'm from America.,J(n!gspn!Bnfsjdb/
5647,I'm from the FBI.,J(n!gspn!uif!GCJ/
5648,I'm glad Tom won.,J(n!hmbe!Upn!xpo/
5649,I'm going inside.,J(n!hpjoh!jotjef/
5650,I'm going to run.,J(n!hpjoh!up!svo/
5651,I'm good at math.,J(n!hppe!bu!nbui/
5652,I'm happy enough.,J(n!ibqqz!fopvhi/
5653,I'm happy we won.,J(n!ibqqz!xf!xpo/
5654,I'm here to help.,J(n!ifsf!up!ifmq/
5655,I'm in the house.,J(n!jo!uif!ipvtf/
5656,I'm just curious.,J(n!kvtu!dvsjpvt/
5657,I'm just kidding.,J(n!kvtu!ljeejoh/
5658,I'm just looking.,J(n!kvtu!mppljoh/
5659,"I'm nervous, too.",J(n!ofswpvt-!upp/
5660,"I'm nervous, too.",J(n!ofswpvt-!upp/
5661,I'm not a doctor.,J(n!opu!b!epdups/
5662,I'm not a prince.,J(n!opu!b!qsjodf/
5663,I'm not an idiot.,J(n!opu!bo!jejpu/
5664,I'm not busy now.,J(n!opu!cvtz!opx/
5665,I'm not drinking.,J(n!opu!esjoljoh/
5666,I'm not drinking.,J(n!opu!esjoljoh/
5667,I'm not suicidal.,J(n!opu!tvjdjebm/
5668,I'm not sure why.,J(n!opu!tvsf!xiz/
5669,I'm on the porch.,J(n!po!uif!qpsdi/
5670,I'm on the porch.,J(n!po!uif!qpsdi/
5671,I'm only kidding.,J(n!pomz!ljeejoh/
5672,I'm proud of you.,J(n!qspve!pg!zpv/
5673,I'm proud of you.,J(n!qspve!pg!zpv/
5674,I'm really tired.,J(n!sfbmmz!ujsfe/
5675,I'm really tired.,J(n!sfbmmz!ujsfe/
5676,I'm really tired.,J(n!sfbmmz!ujsfe/
5677,"I'm retired, too.",J(n!sfujsfe-!upp/
5678,I'm still eating.,J(n!tujmm!fbujoh/
5679,I'm still eating.,J(n!tujmm!fbujoh/
5680,I'm still hungry.,J(n!tujmm!ivohsz/
5681,I'm still single.,J(n!tujmm!tjohmf/
5682,I'm stressed out.,J(n!tusfttfe!pvu/
5683,I'm very nervous.,J(n!wfsz!ofswpvt/
5684,I'm very nervous.,J(n!wfsz!ofswpvt/
5685,I'm very relaxed.,J(n!wfsz!sfmbyfe/
5686,I'm your brother.,J(n!zpvs!cspuifs/
5687,I'm your brother.,J(n!zpvs!cspuifs/
5688,I've got nothing.,J(wf!hpu!opuijoh/
5689,I've lost weight.,J(wf!mptu!xfjhiu/
5690,"Ironic, isn't it?",Jspojd-!jto(u!ju@
5691,"Ironic, isn't it?",Jspojd-!jto(u!ju@
5692,Is Tom dangerous?,Jt!Upn!ebohfspvt@
5693,Is Tom in danger?,Jt!Upn!jo!ebohfs@
5694,Is everything OK?,Jt!fwfszuijoh!PL@
5695,Is he still here?,Jt!if!tujmm!ifsf@
5696,Is that a castle?,Jt!uibu!b!dbtumf@
5697,Is that a pencil?,Jt!uibu!b!qfodjm@
5698,Is that a riddle?,Jt!uibu!b!sjeemf@
5699,Is that a spider?,Jt!uibu!b!tqjefs@
5700,Is that an order?,Jt!uibu!bo!psefs@
5701,Is that for sale?,Jt!uibu!gps!tbmf@
5702,Is that your car?,Jt!uibu!zpvs!dbs@
5703,Is that your mom?,Jt!uibu!zpvs!npn@
5704,Is that your mom?,Jt!uibu!zpvs!npn@
5705,Is that your son?,Jt!uibu!zpvs!tpo@
5706,Is the apple red?,Jt!uif!bqqmf!sfe@
5707,Is the bank open?,Jt!uif!cbol!pqfo@
5708,Is the lake deep?,Jt!uif!mblf!effq@
5709,Is this a flower?,Jt!uijt!b!gmpxfs@
5710,Is this your bag?,Jt!uijt!zpvs!cbh@
5711,Is this your bag?,Jt!uijt!zpvs!cbh@
5712,Is this your car?,Jt!uijt!zpvs!dbs@
5713,Is this your car?,Jt!uijt!zpvs!dbs@
5714,Is this your pen?,Jt!uijt!zpvs!qfo@
5715,Is this your pen?,Jt!uijt!zpvs!qfo@
5716,Is this your pen?,Jt!uijt!zpvs!qfo@
5717,Isn't it obvious?,Jto(u!ju!pcwjpvt@
5718,Isn't it perfect?,Jto(u!ju!qfsgfdu@
5719,It began to rain.,Ju!cfhbo!up!sbjo/
5720,It began to snow.,Ju!cfhbo!up!topx/
5721,It began to snow.,Ju!cfhbo!up!topx/
5722,It began to snow.,Ju!cfhbo!up!topx/
5723,It belongs there.,Ju!cfmpoht!uifsf/
5724,It can't be true.,Ju!dbo(u!cf!usvf/
5725,It can't be true.,Ju!dbo(u!cf!usvf/
5726,It costs 2 euros.,Ju!dptut!3!fvspt/
5727,It is time to go.,Ju!jt!ujnf!up!hp/
5728,It just came out.,Ju!kvtu!dbnf!pvu/
5729,It just came out.,Ju!kvtu!dbnf!pvu/
5730,It just came out.,Ju!kvtu!dbnf!pvu/
5731,It just came out.,Ju!kvtu!dbnf!pvu/
5732,It looks strange.,Ju!mpplt!tusbohf/
5733,It needs washing.,Ju!offet!xbtijoh/
5734,It needs washing.,Ju!offet!xbtijoh/
5735,It needs washing.,Ju!offet!xbtijoh/
5736,It seems strange.,Ju!tffnt!tusbohf/
5737,It was a hot day.,Ju!xbt!b!ipu!ebz/
5738,It was dangerous.,Ju!xbt!ebohfspvt/
5739,It was drizzling.,Ju!xbt!esj{{mjoh/
5740,It was mandatory.,Ju!xbt!nboebupsz/
5741,It was very cold.,Ju!xbt!wfsz!dpme/
5742,It wasn't a joke.,Ju!xbto(u!b!kplf/
5743,It'll snow today.,Ju(mm!topx!upebz/
5744,It's April first.,Ju(t!Bqsjm!gjstu/
5745,It's Greek to me.,Ju(t!Hsffl!up!nf/
5746,It's a done deal.,Ju(t!b!epof!efbm/
5747,It's a done deal.,Ju(t!b!epof!efbm/
5748,It's a good book.,Ju(t!b!hppe!cppl/
5749,It's a pineapple.,Ju(t!b!qjofbqqmf/
5750,It's a rainy day.,Ju(t!b!sbjoz!ebz/
5751,It's a sunflower.,Ju(t!b!tvogmpxfs/
5752,It's almost 2:30.,Ju(t!bmnptu!3;41/
5753,It's almost noon.,Ju(t!bmnptu!oppo/
5754,It's almost over.,Ju(t!bmnptu!pwfs/
5755,It's bad for you.,Ju(t!cbe!gps!zpv/
5756,It's been stolen.,Ju(t!cffo!tupmfo/
5757,It's hard to say.,Ju(t!ibse!up!tbz/
5758,It's just coffee.,Ju(t!kvtu!dpggff/
5759,It's monkey meat.,Ju(t!npolfz!nfbu/
5760,It's my umbrella.,Ju(t!nz!vncsfmmb/
5761,It's now my turn.,Ju(t!opx!nz!uvso/
5762,It's one of mine.,Ju(t!pof!pg!njof/
5763,It's pretty cold.,Ju(t!qsfuuz!dpme/
5764,It's probably OK.,Ju(t!qspcbcmz!PL/
5765,It's probably OK.,Ju(t!qspcbcmz!PL/
5766,It's rainy today.,Ju(t!sbjoz!upebz/
5767,It's second-hand.,Ju(t!tfdpoe.iboe/
5768,It's snowing now.,Ju(t!topxjoh!opx/
5769,It's sunny today.,Ju(t!tvooz!upebz/
5770,It's sunny today.,Ju(t!tvooz!upebz/
5771,It's the big one.,Ju(t!uif!cjh!pof/
5772,It's very sticky.,Ju(t!wfsz!tujdlz/
5773,It's worth a try.,Ju(t!xpsui!b!usz/
5774,It's worth a try.,Ju(t!xpsui!b!usz/
5775,Japan is in Asia.,Kbqbo!jt!jo!Btjb/
5776,Just a moment ...,Kvtu!b!npnfou!///
5777,Keep a cool head.,Lffq!b!dppm!ifbe/
5778,Keep it a secret.,Lffq!ju!b!tfdsfu/
5779,Leave everything.,Mfbwf!fwfszuijoh/
5780,Leave the bottle.,Mfbwf!uif!cpuumf/
5781,Leave them alone.,Mfbwf!uifn!bmpof/
5782,Lend me a pencil.,Mfoe!nf!b!qfodjm/
5783,Let Tom carry it.,Mfu!Upn!dbssz!ju/
5784,Let me add water.,Mfu!nf!bee!xbufs/
5785,Let me try again.,Mfu!nf!usz!bhbjo/
5786,Let them win one.,Mfu!uifn!xjo!pof/
5787,Let's be friends.,Mfu(t!cf!gsjfoet/
5788,Let's get coffee.,Mfu(t!hfu!dpggff/
5789,Let's get coffee.,Mfu(t!hfu!dpggff/
5790,Let's have lunch.,Mfu(t!ibwf!mvodi/
5791,Let's have sushi.,Mfu(t!ibwf!tvtij/
5792,Let's just begin.,Mfu(t!kvtu!cfhjo/
5793,Let's just do it.,Mfu(t!kvtu!ep!ju/
5794,Let's play cards.,Mfu(t!qmbz!dbset/
5795,Let's take a bus.,Mfu(t!ublf!b!cvt/
5796,Life is not fair.,Mjgf!jt!opu!gbjs/
5797,Light the candle.,Mjhiu!uif!dboemf/
5798,Listen carefully.,Mjtufo!dbsfgvmmz/
5799,"Listen to me, OK?",Mjtufo!up!nf-!PL@
5800,Look at the moon.,Mppl!bu!uif!nppo/
5801,Make your choice.,Nblf!zpvs!dipjdf/
5802,Make your choice.,Nblf!zpvs!dipjdf/
5803,Make your choice.,Nblf!zpvs!dipjdf/
5804,Mars is a planet.,Nbst!jt!b!qmbofu/
5805,Mary is gorgeous.,Nbsz!jt!hpshfpvt/
5806,Mary is graceful.,Nbsz!jt!hsbdfgvm/
5807,Mary is my niece.,Nbsz!jt!nz!ojfdf/
5808,Mary slapped Tom.,Nbsz!tmbqqfe!Upn/
5809,"Mary, I love you.",Nbsz-!J!mpwf!zpv/
5810,May I call later?,Nbz!J!dbmm!mbufs@
5811,May I come again?,Nbz!J!dpnf!bhbjo@
5812,Maybe Tom did it.,Nbzcf!Upn!eje!ju/
5813,Maybe he was ill.,Nbzcf!if!xbt!jmm/
5814,Maybe it was you.,Nbzcf!ju!xbt!zpv/
5815,Maybe it'll snow.,Nbzcf!ju(mm!topx/
5816,My back is stiff.,Nz!cbdl!jt!tujgg/
5817,My brain is full.,Nz!csbjo!jt!gvmm/
5818,My brain is full.,Nz!csbjo!jt!gvmm/
5819,My ears are cold.,Nz!fbst!bsf!dpme/
5820,My eyes are blue.,Nz!fzft!bsf!cmvf/
5821,My father smokes.,Nz!gbuifs!tnplft/
5822,My feet are cold.,Nz!gffu!bsf!dpme/
5823,My glass is full.,Nz!hmbtt!jt!gvmm/
5824,My hair is short.,Nz!ibjs!jt!tipsu/
5825,My house is here.,Nz!ipvtf!jt!ifsf/
5826,My mouth was dry.,Nz!npvui!xbt!esz/
5827,My pencil is red.,Nz!qfodjm!jt!sfe/
5828,My pulse is fast.,Nz!qvmtf!jt!gbtu/
5829,My pulse is slow.,Nz!qvmtf!jt!tmpx/
5830,My socks are wet.,Nz!tpdlt!bsf!xfu/
5831,My stomach hurts.,Nz!tupnbdi!ivsut/
5832,My uncle is rich.,Nz!vodmf!jt!sjdi/
5833,Neither was true.,Ofjuifs!xbt!usvf/
5834,Nice to meet you.,Ojdf!up!nffu!zpv/
5835,Nice to meet you.,Ojdf!up!nffu!zpv/
5836,No one helped me.,Op!pof!ifmqfe!nf/
5837,No one knew that.,Op!pof!lofx!uibu/
5838,No one knows why.,Op!pof!lopxt!xiz/
5839,No one responded.,Op!pof!sftqpoefe/
5840,No one thinks so.,Op!pof!uijolt!tp/
5841,No one will know.,Op!pof!xjmm!lopx/
5842,Nobody knew that.,Opcpez!lofx!uibu/
5843,Nobody knows why.,Opcpez!lopxt!xiz/
5844,Nobody likes war.,Opcpez!mjlft!xbs/
5845,Nobody loves war.,Opcpez!mpwft!xbs/
5846,Nobody remembers.,Opcpez!sfnfncfst/
5847,Nobody went home.,Opcpez!xfou!ipnf/
5848,Nobody's perfect.,Opcpez(t!qfsgfdu/
5849,Nobody's perfect.,Opcpez(t!qfsgfdu/
5850,Nothing happened.,Opuijoh!ibqqfofe/
5851,Nothing happened.,Opuijoh!ibqqfofe/
5852,Open the windows.,Pqfo!uif!xjoepxt/
5853,Open your window.,Pqfo!zpvs!xjoepx/
5854,Our kids hate us.,Pvs!ljet!ibuf!vt/
5855,Our kids hate us.,Pvs!ljet!ibuf!vt/
5856,People love dogs.,Qfpqmf!mpwf!epht/
5857,Please be polite.,Qmfbtf!cf!qpmjuf/
5858,Please come back.,Qmfbtf!dpnf!cbdl/
5859,Please don't cry.,Qmfbtf!epo(u!dsz/
5860,Please don't die!,"Qmfbtf!epo(u!ejf"""
5861,Please don't die.,Qmfbtf!epo(u!ejf/
5862,Please follow me.,Qmfbtf!gpmmpx!nf/
5863,Please go faster.,Qmfbtf!hp!gbtufs/
5864,Please sign here.,Qmfbtf!tjho!ifsf/
5865,Please wait here.,Qmfbtf!xbju!ifsf/
5866,Please wait here.,Qmfbtf!xbju!ifsf/
5867,Prepare yourself.,Qsfqbsf!zpvstfmg/
5868,Put Tom on a bus.,Qvu!Upn!po!b!cvt/
5869,Put a sock in it.,Qvu!b!tpdl!jo!ju/
5870,Put on your coat.,Qvu!po!zpvs!dpbu/
5871,Quit complaining.,Rvju!dpnqmbjojoh/
5872,Quit complaining.,Rvju!dpnqmbjojoh/
5873,"Red wine, please.",Sfe!xjof-!qmfbtf/
5874,Respect yourself.,Sftqfdu!zpvstfmg/
5875,Rome is in Italy.,Spnf!jt!jo!Jubmz/
5876,Say it in French.,Tbz!ju!jo!Gsfodi/
5877,See you tomorrow.,Tff!zpv!upnpsspx/
5878,Shall I continue?,Tibmm!J!dpoujovf@
5879,Shall I help you?,Tibmm!J!ifmq!zpv@
5880,Shall I help you?,Tibmm!J!ifmq!zpv@
5881,She attacked him.,Tif!buubdlfe!ijn/
5882,She attacked him.,Tif!buubdlfe!ijn/
5883,She became happy.,Tif!cfdbnf!ibqqz/
5884,She began crying.,Tif!cfhbo!dszjoh/
5885,She defeated him.,Tif!efgfbufe!ijn/
5886,She defeated him.,Tif!efgfbufe!ijn/
5887,She does know it.,Tif!epft!lopx!ju/
5888,She drives a BMW.,Tif!esjwft!b!CNX/
5889,She has dry hair.,Tif!ibt!esz!ibjs/
5890,She has wet hair.,Tif!ibt!xfu!ibjs/
5891,She insulted him.,Tif!jotvmufe!ijn/
5892,She is a student.,Tif!jt!b!tuvefou/
5893,She is a teacher.,Tif!jt!b!ufbdifs/
5894,She is beautiful.,Tif!jt!cfbvujgvm/
5895,She is no beauty.,Tif!jt!op!cfbvuz/
5896,She is very fast.,Tif!jt!wfsz!gbtu/
5897,She is very fast.,Tif!jt!wfsz!gbtu/
5898,She lives nearby.,Tif!mjwft!ofbscz/
5899,She loves coffee.,Tif!mpwft!dpggff/
5900,She needs a coat.,Tif!offet!b!dpbu/
5901,She put on socks.,Tif!qvu!po!tpdlt/
5902,She quit smoking.,Tif!rvju!tnpljoh/
5903,She rejected him.,Tif!sfkfdufe!ijn/
5904,She rode a camel.,Tif!spef!b!dbnfm/
5905,She smokes a lot.,Tif!tnplft!b!mpu/
5906,She smokes a lot.,Tif!tnplft!b!mpu/
5907,She talked a lot.,Tif!ubmlfe!b!mpu/
5908,She worships him.,Tif!xpstijqt!ijn/
5909,Shots were fired.,Tiput!xfsf!gjsfe/
5910,Sit at the table.,Tju!bu!uif!ubcmf/
5911,Somebody laughed.,Tpnfcpez!mbvhife/
5912,Someone is lying.,Tpnfpof!jt!mzjoh/
5913,Someone is lying.,Tpnfpof!jt!mzjoh/
5914,Someone screamed.,Tpnfpof!tdsfbnfe/
5915,Something stinks.,Tpnfuijoh!tujolt/
5916,Sorry to be late.,Tpssz!up!cf!mbuf/
5917,Spring is coming.,Tqsjoh!jt!dpnjoh/
5918,"Stand up, please.",Tuboe!vq-!qmfbtf/
5919,Stop complaining.,Tupq!dpnqmbjojoh/
5920,Stop complaining.,Tupq!dpnqmbjojoh/
5921,Summer has ended.,Tvnnfs!ibt!foefe/
5922,Take a good look.,Ublf!b!hppe!mppl/
5923,Talk to somebody.,Ubml!up!tpnfcpez/
5924,Tell me about it!,"Ufmm!nf!bcpvu!ju"""
5925,Tell me about it.,Ufmm!nf!bcpvu!ju/
5926,That bag is mine.,Uibu!cbh!jt!njof/
5927,That book is old.,Uibu!cppl!jt!pme/
5928,That is a pencil.,Uibu!jt!b!qfodjm/
5929,That is my house.,Uibu!jt!nz!ipvtf/
5930,That is not true.,Uibu!jt!opu!usvf/
5931,That makes sense.,Uibu!nblft!tfotf/
5932,That makes sense.,Uibu!nblft!tfotf/
5933,That man is dead.,Uibu!nbo!jt!efbe/
5934,That may be true.,Uibu!nbz!cf!usvf/
5935,That person died.,Uibu!qfstpo!ejfe/
5936,That smells good.,Uibu!tnfmmt!hppe/
5937,That smells nice.,Uibu!tnfmmt!ojdf/
5938,That smells nice.,Uibu!tnfmmt!ojdf/
5939,That smells nice.,Uibu!tnfmmt!ojdf/
5940,That sounds good.,Uibu!tpvoet!hppe/
5941,That sounds okay.,Uibu!tpvoet!plbz/
5942,That was awkward.,Uibu!xbt!bxlxbse/
5943,That was awkward.,Uibu!xbt!bxlxbse/
5944,That was awkward.,Uibu!xbt!bxlxbse/
5945,That was helpful.,Uibu!xbt!ifmqgvm/
5946,That's a mistake.,Uibu(t!b!njtublf/
5947,That's a mistake.,Uibu(t!b!njtublf/
5948,That's dangerous.,Uibu(t!ebohfspvt/
5949,That's his horse.,Uibu(t!ijt!ipstf/
5950,That's his house.,Uibu(t!ijt!ipvtf/
5951,That's important.,Uibu(t!jnqpsubou/
5952,That's incurable.,Uibu(t!jodvsbcmf/
5953,That's incurable.,Uibu(t!jodvsbcmf/
5954,That's my pencil.,Uibu(t!nz!qfodjm/
5955,That's not funny.,Uibu(t!opu!gvooz/
5956,That's our house.,Uibu(t!pvs!ipvtf/
5957,That's real gold.,Uibu(t!sfbm!hpme/
5958,"That's true, too.",Uibu(t!usvf-!upp/
5959,The apple is red.,Uif!bqqmf!jt!sfe/
5960,The battery died.,Uif!cbuufsz!ejfe/
5961,"The bill, please.",Uif!cjmm-!qmfbtf/
5962,"The bill, please.",Uif!cjmm-!qmfbtf/
5963,"The bill, please.",Uif!cjmm-!qmfbtf/
5964,"The bill, please.",Uif!cjmm-!qmfbtf/
5965,The book is mine.,Uif!cppl!jt!njof/
5966,The boy ran away.,Uif!cpz!sbo!bxbz/
5967,The boy ran away.,Uif!cpz!sbo!bxbz/
5968,The car is ready.,Uif!dbs!jt!sfbez/
5969,The cat is black.,Uif!dbu!jt!cmbdl/
5970,The cat is brown.,Uif!dbu!jt!cspxo/
5971,The curtain fell.,Uif!dvsubjo!gfmm/
5972,The dog is dying.,Uif!eph!jt!ezjoh/
5973,The dog is smart.,Uif!eph!jt!tnbsu/
5974,The dog is white.,Uif!eph!jt!xijuf/
5975,The dog was dead.,Uif!eph!xbt!efbe/
5976,The dogs are wet.,Uif!epht!bsf!xfu/
5977,The fans cheered.,Uif!gbot!diffsfe/
5978,The food is cold.,Uif!gppe!jt!dpme/
5979,The hat is yours.,Uif!ibu!jt!zpvst/
5980,The light was on.,Uif!mjhiu!xbt!po/
5981,The man is naked.,Uif!nbo!jt!oblfe/
5982,The man is right.,Uif!nbo!jt!sjhiu/
5983,The mass is over.,Uif!nbtt!jt!pwfs/
5984,The mass is over.,Uif!nbtt!jt!pwfs/
5985,The milk is sour.,Uif!njml!jt!tpvs/
5986,The moon has set.,Uif!nppo!ibt!tfu/
5987,The pie is fresh.,Uif!qjf!jt!gsfti/
5988,The pizza's here!,"Uif!qj{{b(t!ifsf"""
5989,The sea is rough.,Uif!tfb!jt!spvhi/
5990,The sky was blue.,Uif!tlz!xbt!cmvf/
5991,The sky was blue.,Uif!tlz!xbt!cmvf/
5992,The sky was gray.,Uif!tlz!xbt!hsbz/
5993,The soup is cold.,Uif!tpvq!jt!dpme/
5994,The towel is wet.,Uif!upxfm!jt!xfu/
5995,The twins helped.,Uif!uxjot!ifmqfe/
5996,The twins smiled.,Uif!uxjot!tnjmfe/
5997,The water is hot.,Uif!xbufs!jt!ipu/
5998,The water is icy.,Uif!xbufs!jt!jdz/
5999,The water's cold.,Uif!xbufs(t!dpme/
6000,The water's warm.,Uif!xbufs(t!xbsn/
6001,The week is over.,Uif!xffl!jt!pwfs/
6002,The woman is fat.,Uif!xpnbo!jt!gbu/
6003,The world is big.,Uif!xpsme!jt!cjh/
6004,There is no hope.,Uifsf!jt!op!ipqf/
6005,There's a mirror.,Uifsf(t!b!njssps/
6006,There's no doubt.,Uifsf(t!op!epvcu/
6007,There's no hurry.,Uifsf(t!op!ivssz/
6008,There's no limit.,Uifsf(t!op!mjnju/
6009,There's no water.,Uifsf(t!op!xbufs/
6010,There's no water.,Uifsf(t!op!xbufs/
6011,They all cheered.,Uifz!bmm!diffsfe/
6012,They all drowned.,Uifz!bmm!espxofe/
6013,They all watched.,Uifz!bmm!xbudife/
6014,They are arguing.,Uifz!bsf!bshvjoh/
6015,They are doctors.,Uifz!bsf!epdupst/
6016,They are doctors.,Uifz!bsf!epdupst/
6017,They are singers.,Uifz!bsf!tjohfst/
6018,They are singers.,Uifz!bsf!tjohfst/
6019,They believe you.,Uifz!cfmjfwf!zpv/
6020,They disappeared.,Uifz!ejtbqqfbsfe/
6021,They dug a grave.,Uifz!evh!b!hsbwf/
6022,They feel hungry.,Uifz!gffm!ivohsz/
6023,They got married.,Uifz!hpu!nbssjfe/
6024,They had no food.,Uifz!ibe!op!gppe/
6025,They lied to you.,Uifz!mjfe!up!zpv/
6026,They like apples.,Uifz!mjlf!bqqmft/
6027,They live nearby.,Uifz!mjwf!ofbscz/
6028,They live nearby.,Uifz!mjwf!ofbscz/
6029,They love coffee.,Uifz!mpwf!dpggff/
6030,They needed help.,Uifz!offefe!ifmq/
6031,They respect him.,Uifz!sftqfdu!ijn/
6032,They trusted you.,Uifz!usvtufe!zpv/
6033,They were dating.,Uifz!xfsf!ebujoh/
6034,They were dating.,Uifz!xfsf!ebujoh/
6035,They were eating.,Uifz!xfsf!fbujoh/
6036,They were eating.,Uifz!xfsf!fbujoh/
6037,They were hungry.,Uifz!xfsf!ivohsz/
6038,They were skiing.,Uifz!xfsf!tljjoh/
6039,They're all nuts.,Uifz(sf!bmm!ovut/
6040,They're brothers.,Uifz(sf!cspuifst/
6041,They're children.,Uifz(sf!dijmesfo/
6042,They're children.,Uifz(sf!dijmesfo/
6043,They're teachers.,Uifz(sf!ufbdifst/
6044,They're watching.,Uifz(sf!xbudijoh/
6045,This bag is mine.,Uijt!cbh!jt!njof/
6046,This book is new.,Uijt!cppl!jt!ofx/
6047,This book is old.,Uijt!cppl!jt!pme/
6048,This car is fast.,Uijt!dbs!jt!gbtu/
6049,This car is mine.,Uijt!dbs!jt!njof/
6050,This doesn't fit.,Uijt!epfto(u!gju/
6051,This feels wrong.,Uijt!gffmt!xspoh/
6052,This feels wrong.,Uijt!gffmt!xspoh/
6053,This fish is big.,Uijt!gjti!jt!cjh/
6054,This hat is mine.,Uijt!ibu!jt!njof/
6055,This is Room 839.,Uijt!jt!Sppn!94:/
6056,This is a pencil.,Uijt!jt!b!qfodjm/
6057,This is an apple.,Uijt!jt!bo!bqqmf/
6058,This is big news.,Uijt!jt!cjh!ofxt/
6059,This is her book.,Uijt!jt!ifs!cppl/
6060,This is my horse.,Uijt!jt!nz!ipstf/
6061,This is my house.,Uijt!jt!nz!ipvtf/
6062,This is nonsense.,Uijt!jt!opotfotf/
6063,This is not safe.,Uijt!jt!opu!tbgf/
6064,This is personal.,Uijt!jt!qfstpobm/
6065,This is red wine.,Uijt!jt!sfe!xjof/
6066,This is the case.,Uijt!jt!uif!dbtf/
6067,This one is free.,Uijt!pof!jt!gsff/
6068,This smells good.,Uijt!tnfmmt!hppe/
6069,This sounds good.,Uijt!tpvoet!hppe/
6070,This tastes good.,Uijt!ubtuft!hppe/
6071,This tea is good.,Uijt!ufb!jt!hppe/
6072,This tooth hurts.,Uijt!uppui!ivsut/
6073,Tom admired Mary.,Upn!benjsfe!Nbsz/
6074,Tom and I agreed.,Upn!boe!J!bhsffe/
6075,Tom and I agreed.,Upn!boe!J!bhsffe/
6076,Tom and I hugged.,Upn!boe!J!ivhhfe/
6077,Tom and I kissed.,Upn!boe!J!ljttfe/
6078,Tom arrived last.,Upn!bssjwfe!mbtu/
6079,Tom ate an apple.,Upn!buf!bo!bqqmf/
6080,Tom ate my lunch.,Upn!buf!nz!mvodi/
6081,Tom ate too much.,Upn!buf!upp!nvdi/
6082,Tom avoided Mary.,Upn!bwpjefe!Nbsz/
6083,Tom became tired.,Upn!cfdbnf!ujsfe/
6084,Tom began to cry.,Upn!cfhbo!up!dsz/
6085,Tom bought a hat.,Upn!cpvhiu!b!ibu/
6086,Tom bought bread.,Upn!cpvhiu!csfbe/
6087,Tom bought bread.,Upn!cpvhiu!csfbe/
6088,Tom bought socks.,Upn!cpvhiu!tpdlt/
6089,Tom called a cab.,Upn!dbmmfe!b!dbc/
6090,Tom can run fast.,Upn!dbo!svo!gbtu/
6091,Tom can sit here.,Upn!dbo!tju!ifsf/
6092,Tom can't see us.,Upn!dbo(u!tff!vt/
6093,Tom cannot drive.,Upn!dboopu!esjwf/
6094,Tom corrected it.,Upn!dpssfdufe!ju/
6095,Tom corrected it.,Upn!dpssfdufe!ju/
6096,Tom cut the cake.,Upn!dvu!uif!dblf/
6097,Tom did it wrong.,Upn!eje!ju!xspoh/
6098,Tom died in 2009.,Upn!ejfe!jo!311:/
6099,Tom doesn't know.,Upn!epfto(u!lopx/
6100,Tom drank a beer.,Upn!esbol!b!cffs/
6101,Tom drinks a lot.,Upn!esjolt!b!mpu/
6102,Tom drinks juice.,Upn!esjolt!kvjdf/
6103,Tom felt awkward.,Upn!gfmu!bxlxbse/
6104,Tom forgave Mary.,Upn!gpshbwf!Nbsz/
